"","hhid","species_name","abundance","regency","village","plotID","crop"
"274",84,"Spaghneticola Trilobata","3","Sarolangun","Payo Lebar",1,"Rubber"
"275",84,"Davallia denticulata","17","Sarolangun","Payo Lebar",1,"Rubber"
"276",84,"Lindernia diffusa","138","Sarolangun","Payo Lebar",1,"Rubber"
"277",84,"Lygodium salicifolium","8","Sarolangun","Payo Lebar",1,"Rubber"
"278",84,"Melastoma malabathricum","4","Sarolangun","Payo Lebar",1,"Rubber"
"279",84,"Oxalis barrelieri","32","Sarolangun","Payo Lebar",1,"Rubber"
"280",84,"Lindsaea ensifolia","36","Sarolangun","Payo Lebar",1,"Rubber"
"281",84,"Cleome Rutidosperma","96","Sarolangun","Payo Lebar",1,"Rubber"
"282",84,"Pityrogramma Calomelanos","23","Sarolangun","Payo Lebar",1,"Rubber"
"283",84,"Leptaspis Urceolata","83","Sarolangun","Payo Lebar",1,"Rubber"
"284",84,"Taenitis blechnoides","33","Sarolangun","Payo Lebar",1,"Rubber"
"285",84,"Asystasia gangetica","154","Sarolangun","Payo Lebar",1,"Rubber"
"286",84,"Clidemia hirta","69","Sarolangun","Payo Lebar",1,"Rubber"
"287",84,"Pulai","6","Sarolangun","Payo Lebar",1,"Rubber"
"288",84,"Cyrtococcum Pattens","323","Sarolangun","Payo Lebar",1,"Rubber"
"289",84,"Peperomia Pellucida","49","Sarolangun","Payo Lebar",1,"Rubber"
"290",89,"Lantana camara","2","Sarolangun","Payo Lebar",2,"Rubber"
"291",89,"Clidemia hirta","6","Sarolangun","Payo Lebar",2,"Rubber"
"292",89,"Scleria ciliaris","9","Sarolangun","Payo Lebar",2,"Rubber"
"293",89,"Lindsaea ensifolia","6","Sarolangun","Payo Lebar",2,"Rubber"
"294",89,"Lygodium circinatum","6","Sarolangun","Payo Lebar",2,"Rubber"
"295",89,"Melastoma malabathricum","3","Sarolangun","Payo Lebar",2,"Rubber"
"296",89,"Taenitis blechnoides","16","Sarolangun","Payo Lebar",2,"Rubber"
"297",89,"Asplenium Longissisum","2","Sarolangun","Payo Lebar",2,"Rubber"
"298",89,"hevea brasiliensis","12","Sarolangun","Payo Lebar",2,"Rubber"
"299",117,"Clidemia hirta","83","Sarolangun","Semaran",1,"Palm Oil"
"300",117,"Melastoma malabathricum","44","Sarolangun","Semaran",1,"Palm Oil"
"301",117,"Scleria ciliaris","13","Sarolangun","Semaran",1,"Palm Oil"
"302",117,"Cyrtococcum Patens","339","Sarolangun","Semaran",1,"Palm Oil"
"303",117,"Looks like Lindsaea Ensifolia","18","Sarolangun","Semaran",1,"Palm Oil"
"304",117,"Looks like Mussaenda Frondusa","1","Sarolangun","Semaran",1,"Palm Oil"
"305",117,"Long Sharp Leaves Tree ","5","Sarolangun","Semaran",1,"Palm Oil"
"306",117,"Pikform Blattbaum","4","Sarolangun","Semaran",1,"Palm Oil"
"307",117,"Tetracera Indica ","1","Sarolangun","Semaran",1,"Palm Oil"
"308",117,"Looks like Ficus","1","Sarolangun","Semaran",1,"Palm Oil"
"309",117,"Long Straight Grass","2","Sarolangun","Semaran",1,"Palm Oil"
"310",117,"Dicranopteris linearis","137","Sarolangun","Semaran",1,"Palm Oil"
"311",117,"Hevea brasiliensis","2","Sarolangun","Semaran",1,"Palm Oil"
"312",117,"Lindsaea ensifolia","11","Sarolangun","Semaran",1,"Palm Oil"
"313",126,"Clidemia hirta","33","Sarolangun","Danau Serdang",1,"Rubber"
"314",126,"Dicranopteris linearis","5","Sarolangun","Danau Serdang",1,"Rubber"
"315",126,"Hevea brasiliensis","16","Sarolangun","Danau Serdang",1,"Rubber"
"316",126,"Melastoma malabathricum","7","Sarolangun","Danau Serdang",1,"Rubber"
"317",126,"Scleria ciliaris","33","Sarolangun","Danau Serdang",1,"Rubber"
"318",126,"Centotheca Lappacea","26","Sarolangun","Danau Serdang",1,"Rubber"
"319",126,"Axonopus Compressus","14","Sarolangun","Danau Serdang",1,"Rubber"
"320",126,"heart formed leaves","3","Sarolangun","Danau Serdang",1,"Rubber"
"321",170,"Bauhinia semibifida","1","Sarolangun","Pematang Kabau",1,"Rubber"
"322",170,"Clidemia hirta","151","Sarolangun","Pematang Kabau",1,"Rubber"
"323",170,"Molineria latifolia","2","Sarolangun","Pematang Kabau",1,"Rubber"
"324",170,"Scleria ciliaris","140","Sarolangun","Pematang Kabau",1,"Rubber"
"325",170,"Taenitis blechnoides","2","Sarolangun","Pematang Kabau",1,"Rubber"
"326",170,"Tetracera indica","1","Sarolangun","Pematang Kabau",1,"Rubber"
"327",170,"cyrtococcum patens","53","Sarolangun","Pematang Kabau",1,"Rubber"
"328",170,"rothmania macrophylla","20","Sarolangun","Pematang Kabau",1,"Rubber"
"329",170,"clibadium surinamense","1","Sarolangun","Pematang Kabau",1,"Rubber"
