"","HHCode","wave","pid.x","MatchingIssue","DataMissing","SpeciesName","Abundance","Invasive","additional","pid.y","cid","CoordinateS","CoordinateE","hid"
"198","121,10",2012,NA,NA,NA,"local name: Meranti kuning",1,0,NA,"1","2",NA,NA,52
"199","121,10",2012,NA,NA,NA,"local name: Balsam",2,0,NA,"1","2",NA,NA,52
"200","121,10",2012,NA,NA,NA,"Oxalis barrelieri",5,0,NA,"1","2",NA,NA,52
"201","121,12",2012,NA,NA,NA,"Axonopus compressus",13,0,NA,"1","2",2.527297,102.6419,54
"202","121,12",2012,NA,NA,NA,"Panicum repens",3,0,NA,"1","2",2.527297,102.6419,54
"203","121,12",2012,NA,NA,NA,"Scleria levis",40,0,NA,"1","2",2.527297,102.6419,54
"204","121,12",2012,NA,NA,NA,"Macaranga gigantea",1,0,NA,"1","2",2.527297,102.6419,54
"205","121,12",2012,NA,NA,NA,"Cleome rutidosperma",1,0,NA,"1","2",2.527297,102.6419,54
"206","121,12",2012,NA,NA,NA,"local name: Balsam",10,0,NA,"1","2",2.527297,102.6419,54
"207","121,12",2012,NA,NA,NA,"Clidemia hirta",72,1,NA,"1","2",2.527297,102.6419,54
"208","121,12",2012,NA,NA,NA,"Lygodium salicifolium",24,0,NA,"1","2",2.527297,102.6419,54
"209","121,12",2012,NA,NA,NA,"Hevea brasiliensis",44,0,NA,"1","2",2.527297,102.6419,54
"210","121,12",2012,NA,NA,NA,"Asystasia gangetica",28,1,NA,"1","2",2.527297,102.6419,54
"211","121,12",2012,NA,NA,NA,"Cardiospermum grandiflorum",1,0,NA,"1","2",2.527297,102.6419,54
"212","121,12",2012,NA,NA,NA,"Macaranga javanica",1,0,NA,"1","2",2.527297,102.6419,54
"213","121,14",2012,NA,NA,NA,"Clidemia hirta",116,1,NA,"1","2",2.527297,102.6419,56
"214","121,14",2012,NA,NA,NA,"Melastoma affine",49,0,NA,"1","2",2.527297,102.6419,56
"215","121,14",2012,NA,NA,NA,"Centotheca lappacea",57,0,NA,"1","2",2.527297,102.6419,56
