"","hid","SpeciesName","Abundance"
"605",416,"Asystasia gangetica","314"
"606",416,"Davallia denticulata","15"
"607",416,"Lantana camara","4"
"608",416,"MS: daun Gerigi","5"
"609",416,"Phyllanthus urinaria","3"
"610",419,"Pityrogramma calomelanos","1"
"611",419,"paku flower","70"
"612",419,"Acmela Paniculata","83"
"613",419,"Adiantum latifolium","64"
"614",419,"Peperomia Pelucida","4"
"615",419,"Melastoma malabathricum","11"
"616",419,"Cleome Rutidosperma","867"
"617",419,"Hyptis capitata","27"
"618",419,"Oxalis barrelieri","17"
"619",419,"Lygodium salicifolium","4"
"620",419,"Asystasia gangetica","43"
"621",437,"Taenitis blechnoides","12"
"622",437,"Scleria ciliaris","11"
"623",437,"Rambutan Hutan","1"
"624",437,"Clidemia hirta","37"
"625",437,"daun Sirih","3"
"626",437,"Stenochlaena palustris","83"
"627",437,"Mirip Jati","5"
"628",437,"Macaranga Bancana","1"
"629",437,"Bunga Putih","5"
"630",437,"Cyrtococcum patens","80"
"631",449,"Asystasia gangetica","36"
"632",449,"Adiantum latifolium","42"
"633",449,"Axonopus compressus","88"
"634",449,"scoparia dulcis","1"
"635",449,"Lindernia diffusa","2"
"636",449,"Lindsaea ensifolia","54"
"637",449,"Lygodium salicifolium","2"
"638",449,"Clidemia hirta","355"
"639",449,"Centotheca lappacea","3"
"640",449,"Cyrtococcum patens","336"
"641",449,"Melastoma malabathricum","17"
"642",449,"Cuphea Carthagenesis","1"
"643",449,"Tetracera indica","4"
"644",455,"LN: Salung","8"
"645",455,"Lygodium salicifolium","3"
"646",455,"Lygodium sp.","1"
"647",455,"Macaranga bancana","3"
"648",455,"Mallotus peltatus","1"
"649",455,"marantodes pumilum","2"
"650",455,"rattan","1"
"651",455,"Stachytarpheta jamaicensis","22"
"652",455,"Uncaria Cordata","8"
"653",455,"Bauhinia semibifida","4"
"654",455,"cleome rutidosperma","9"
"655",455,"Clidemia hirta","19"
"656",455,"cuphea carthagenensis","1"
"657",455,"Lasianthus inaequalis","9"
"658",455,"LN: Kayu medang","7"
"659",460,"Mikania micrantha","28"
"660",460,"Scleria ciliaris","37"
"661",460,"Lindernia diffusa","293"
"662",460,"Ageratum conyzoides","1"
"663",460,"Lygodium salicifolium","10"
"664",460,"Cyrtococcum patens","313"
"665",460,"Adiantum latifolium","157"
"666",460,"Melastoma malabathricum","120"
"667",460,"Legazpia polygonoides","14"
